full,breakdown
#<U+043C><U+043E><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439><U+0437><U+043E><U+043E><U+043F><U+0430><U+0440><U+043A>,
#<U+0441><U+0442><U+0440><U+0430><U+0439><U+043A><U+0431><U+043E><U+043B>,
#<U+0627><U+0644><U+0627><U+062A><U+062D><U+0627><U+062F>,
#<U+091C><U+092F><U+0936><U+094D><U+0930><U+0940><U+0915><U+0943><U+0937><U+094D><U+0923>,
#<U+092E>,
#<U+092E><U+093E><U+091D><U+093E><U+0915><U+094D><U+0932><U+093F><U+0915>,
#<U+092E><U+0940><U+092E><U+0930><U+093E><U+0920><U+0940>,
#<U+0935><U+0902><U+0926><U+0947><U+092E><U+093E><U+0924><U+0930><U+092E><U+094D>,
#<U+306B><U+3083><U+3093><U+3053>,
#<U+306B><U+3083><U+3093><U+3059><U+305F><U+3050><U+3089><U+3080>,
#<U+306D><U+3053>,
#<U+306D><U+3053><U+3059><U+305F><U+3050><U+3089><U+3080>,
#<U+306D><U+3053><U+306E><U+3048>,
#<U+306D><U+3053><U+90E8>,
#<U+306E><U+3093><U+307B><U+3044><U+30D1><U+30FC><U+30AF>,
#<U+3082><U+3075><U+3082><U+3075>,
#<U+30A2><U+30E0><U+30FC><U+30EB><U+30C8><U+30E9>,
#<U+30A4><U+30E9><U+30B9><U+30C8>,
#<U+30A6><U+30A3><U+30B6><U+30FC><U+30C9>,
#<U+30A8><U+30A2><U+30BD><U+30D5><U+30C8>,
#<U+30AA><U+30EA><U+30C8>,
#<U+30B8><U+30AA><U+30B8><U+30AA>,
#<U+30B9><U+30DE><U+30C8><U+30E9><U+30C8><U+30E9>,
#<U+30BA><U+30FC><U+30E9><U+30B7><U+30A2>,
#<U+30BF><U+30A4><U+30D0><U+30CB>,
#<U+30C1><U+30FC><U+30BF><U+30FC>,
#<U+30C6><U+30DF><U+30F3>,
#<U+30C8><U+30E9>,
#<U+30CD><U+30B3>,
#<U+30CF><U+30E4><U+30C6>,
#<U+30D3><U+30FC><U+30B9><U+30C8>,
#<U+30D5><U+30A1><U+30A4><U+30F3><U+30C0><U+30FC><U+8D8A><U+3057><U+306E><U+79C1><U+306E><U+4E16><U+754C>,
#<U+30DB><U+30EF><U+30A4><U+30C8><U+30BF><U+30A4><U+30AC><U+30FC>,
